[INFO 10:52:28 PM] miguelsolorio.symbols activated
[INFO 10:52:28 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 10:52:28 PM] symbols.folders.associations changed, updating to undefined
[INFO 10:52:28 PM] symbols.files.associations changed, updating to undefined
[INFO 10:52:29 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 10:52:29 PM] symbols.folders.associations changed, updating to undefined
[INFO 10:52:29 PM] symbols.files.associations changed, updating to undefined
[INFO 10:52:39 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 10:52:39 PM] symbols.folders.associations changed, updating to undefined
[INFO 10:52:39 PM] symbols.files.associations changed, updating to undefined
[INFO 10:52:53 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 10:52:53 PM] symbols.folders.associations changed, updating to undefined
[INFO 10:52:53 PM] symbols.files.associations changed, updating to undefined
[INFO 10:52:57 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 10:52:57 PM] symbols.folders.associations changed, updating to undefined
[INFO 10:52:57 PM] symbols.files.associations changed, updating to undefined
[INFO 10:53:24 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 10:53:24 PM] symbols.folders.associations changed, updating to undefined
[INFO 10:53:24 PM] symbols.files.associations changed, updating to undefined
[INFO 10:53:45 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 10:53:45 PM] symbols.folders.associations changed, updating to undefined
[INFO 10:53:45 PM] symbols.files.associations changed, updating to undefined
[INFO 10:53:50 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 10:53:50 PM] symbols.folders.associations changed, updating to undefined
[INFO 10:53:50 PM] symbols.files.associations changed, updating to undefined
[INFO 10:54:00 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 10:54:00 PM] symbols.folders.associations changed, updating to undefined
[INFO 10:54:00 PM] symbols.files.associations changed, updating to undefined
[INFO 10:54:01 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 10:54:01 PM] symbols.folders.associations changed, updating to undefined
[INFO 10:54:01 PM] symbols.files.associations changed, updating to undefined
[INFO 10:54:33 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 10:54:33 PM] symbols.folders.associations changed, updating to undefined
[INFO 10:54:33 PM] symbols.files.associations changed, updating to undefined
[INFO 10:54:34 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 10:54:34 PM] symbols.folders.associations changed, updating to undefined
[INFO 10:54:34 PM] symbols.files.associations changed, updating to undefined
[INFO 10:55:40 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 10:55:40 PM] symbols.folders.associations changed, updating to undefined
[INFO 10:55:40 PM] symbols.files.associations changed, updating to undefined
[INFO 10:55:42 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 10:55:42 PM] symbols.folders.associations changed, updating to undefined
[INFO 10:55:42 PM] symbols.files.associations changed, updating to undefined
[INFO 10:55:43 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 10:55:43 PM] symbols.folders.associations changed, updating to undefined
[INFO 10:55:43 PM] symbols.files.associations changed, updating to undefined
[INFO 10:55:49 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 10:55:49 PM] symbols.folders.associations changed, updating to undefined
[INFO 10:55:49 PM] symbols.files.associations changed, updating to undefined
[INFO 10:56:16 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 10:56:16 PM] symbols.folders.associations changed, updating to undefined
[INFO 10:56:16 PM] symbols.files.associations changed, updating to undefined
[INFO 10:56:44 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 10:56:44 PM] symbols.folders.associations changed, updating to undefined
[INFO 10:56:44 PM] symbols.files.associations changed, updating to undefined
[INFO 10:56:58 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 10:56:58 PM] symbols.folders.associations changed, updating to undefined
[INFO 10:56:58 PM] symbols.files.associations changed, updating to undefined
[INFO 10:57:09 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 10:57:09 PM] symbols.folders.associations changed, updating to undefined
[INFO 10:57:09 PM] symbols.files.associations changed, updating to undefined
[INFO 10:57:28 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 10:57:28 PM] symbols.folders.associations changed, updating to undefined
[INFO 10:57:28 PM] symbols.files.associations changed, updating to undefined
[INFO 10:58:07 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 10:58:07 PM] symbols.folders.associations changed, updating to undefined
[INFO 10:58:07 PM] symbols.files.associations changed, updating to undefined
[INFO 10:58:17 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 10:58:17 PM] symbols.folders.associations changed, updating to undefined
[INFO 10:58:17 PM] symbols.files.associations changed, updating to undefined
[INFO 10:58:27 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 10:58:27 PM] symbols.folders.associations changed, updating to undefined
[INFO 10:58:27 PM] symbols.files.associations changed, updating to undefined
[INFO 10:58:34 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 10:58:34 PM] symbols.folders.associations changed, updating to undefined
[INFO 10:58:34 PM] symbols.files.associations changed, updating to undefined
[INFO 10:59:01 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 10:59:01 PM] symbols.folders.associations changed, updating to undefined
[INFO 10:59:01 PM] symbols.files.associations changed, updating to undefined
[INFO 10:59:47 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 10:59:47 PM] symbols.folders.associations changed, updating to undefined
[INFO 10:59:47 PM] symbols.files.associations changed, updating to undefined
[INFO 10:59:48 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 10:59:48 PM] symbols.folders.associations changed, updating to undefined
[INFO 10:59:48 PM] symbols.files.associations changed, updating to undefined
[INFO 11:00:38 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:00:38 PM] symbols.folders.associations changed, updating to undefined
[INFO 11:00:38 PM] symbols.files.associations changed, updating to undefined
[INFO 11:00:45 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:00:45 PM] symbols.folders.associations changed, updating to undefined
[INFO 11:00:45 PM] symbols.files.associations changed, updating to undefined
[INFO 11:00:58 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:00:58 PM] symbols.folders.associations changed, updating to undefined
[INFO 11:00:58 PM] symbols.files.associations changed, updating to undefined
[INFO 11:02:06 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:02:06 PM] symbols.folders.associations changed, updating to undefined
[INFO 11:02:06 PM] symbols.files.associations changed, updating to undefined
[INFO 11:02:13 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:02:13 PM] symbols.folders.associations changed, updating to undefined
[INFO 11:02:13 PM] symbols.files.associations changed, updating to undefined
[INFO 11:02:17 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:02:17 PM] symbols.folders.associations changed, updating to undefined
[INFO 11:02:17 PM] symbols.files.associations changed, updating to undefined
[INFO 11:02:30 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:02:30 PM] symbols.folders.associations changed, updating to undefined
[INFO 11:02:30 PM] symbols.files.associations changed, updating to undefined
[INFO 11:03:07 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:03:07 PM] symbols.folders.associations changed, updating to undefined
[INFO 11:03:07 PM] symbols.files.associations changed, updating to undefined
[INFO 11:05:43 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:05:43 PM] symbols.folders.associations changed, updating to undefined
[INFO 11:05:43 PM] symbols.files.associations changed, updating to undefined
[INFO 11:05:43 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:05:43 PM] symbols.folders.associations changed, updating to undefined
[INFO 11:05:43 PM] symbols.files.associations changed, updating to undefined
[INFO 11:05:59 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:05:59 PM] symbols.folders.associations changed, updating to undefined
[INFO 11:05:59 PM] symbols.files.associations changed, updating to undefined
[INFO 11:06:13 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:06:13 PM] symbols.folders.associations changed, updating to undefined
[INFO 11:06:13 PM] symbols.files.associations changed, updating to undefined
[INFO 11:06:24 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:06:24 PM] symbols.folders.associations changed, updating to undefined
[INFO 11:06:24 PM] symbols.files.associations changed, updating to undefined
[INFO 11:06:28 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:06:28 PM] symbols.folders.associations changed, updating to undefined
[INFO 11:06:28 PM] symbols.files.associations changed, updating to undefined
[INFO 11:06:28 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:06:28 PM] symbols.folders.associations changed, updating to undefined
[INFO 11:06:28 PM] symbols.files.associations changed, updating to undefined
[INFO 11:07:09 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:07:09 PM] symbols.folders.associations changed, updating to undefined
[INFO 11:07:09 PM] symbols.files.associations changed, updating to undefined
[INFO 11:08:02 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:08:02 PM] symbols.folders.associations changed, updating to undefined
[INFO 11:08:02 PM] symbols.files.associations changed, updating to undefined
[INFO 11:08:06 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:08:06 PM] symbols.folders.associations changed, updating to undefined
[INFO 11:08:06 PM] symbols.files.associations changed, updating to undefined
[INFO 11:08:06 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:08:06 PM] symbols.folders.associations changed, updating to undefined
[INFO 11:08:06 PM] symbols.files.associations changed, updating to undefined
[INFO 11:09:10 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:09:10 PM] symbols.folders.associations changed, updating to undefined
[INFO 11:09:10 PM] symbols.files.associations changed, updating to undefined
[INFO 11:09:36 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:09:36 PM] symbols.folders.associations changed, updating to undefined
[INFO 11:09:36 PM] symbols.files.associations changed, updating to undefined
[INFO 11:09:49 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:09:49 PM] symbols.folders.associations changed, updating to undefined
[INFO 11:09:49 PM] symbols.files.associations changed, updating to undefined
[INFO 11:09:58 PM] symbols.hidesExplorerArrows changed, updating to false
