[INFO 2:58:44 PM] miguelsolorio.symbols activated
[INFO 2:58:44 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 2:58:44 PM] symbols.folders.associations changed, updating to undefined
[INFO 2:58:44 PM] symbols.files.associations changed, updating to undefined
[INFO 2:58:45 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 2:58:45 PM] symbols.folders.associations changed, updating to undefined
[INFO 2:58:45 PM] symbols.files.associations changed, updating to undefined
[INFO 2:59:33 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 2:59:33 PM] symbols.folders.associations changed, updating to undefined
[INFO 2:59:33 PM] symbols.files.associations changed, updating to undefined
[INFO 2:59:46 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 2:59:46 PM] symbols.folders.associations changed, updating to undefined
[INFO 2:59:46 PM] symbols.files.associations changed, updating to undefined
[INFO 3:00:01 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 3:00:01 PM] symbols.folders.associations changed, updating to undefined
[INFO 3:00:01 PM] symbols.files.associations changed, updating to undefined
[INFO 3:00:18 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 3:00:18 PM] symbols.folders.associations changed, updating to undefined
[INFO 3:00:18 PM] symbols.files.associations changed, updating to undefined
[INFO 3:00:25 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 3:00:25 PM] symbols.folders.associations changed, updating to undefined
[INFO 3:00:25 PM] symbols.files.associations changed, updating to undefined
[INFO 3:00:57 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 3:00:57 PM] symbols.folders.associations changed, updating to undefined
[INFO 3:00:57 PM] symbols.files.associations changed, updating to undefined
[INFO 3:01:21 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 3:01:21 PM] symbols.folders.associations changed, updating to undefined
[INFO 3:01:21 PM] symbols.files.associations changed, updating to undefined
[INFO 3:01:36 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 3:01:36 PM] symbols.folders.associations changed, updating to undefined
[INFO 3:01:36 PM] symbols.files.associations changed, updating to undefined
[INFO 3:01:54 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 3:01:54 PM] symbols.folders.associations changed, updating to undefined
[INFO 3:01:54 PM] symbols.files.associations changed, updating to undefined
[INFO 3:02:27 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 3:02:27 PM] symbols.folders.associations changed, updating to undefined
[INFO 3:02:27 PM] symbols.files.associations changed, updating to undefined
[INFO 3:05:10 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 3:05:10 PM] symbols.folders.associations changed, updating to undefined
[INFO 3:05:10 PM] symbols.files.associations changed, updating to undefined
[INFO 3:05:50 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 3:05:50 PM] symbols.folders.associations changed, updating to undefined
[INFO 3:05:50 PM] symbols.files.associations changed, updating to undefined
[INFO 3:07:36 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 3:07:36 PM] symbols.folders.associations changed, updating to undefined
[INFO 3:07:36 PM] symbols.files.associations changed, updating to undefined
[INFO 3:07:46 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 3:07:46 PM] symbols.folders.associations changed, updating to undefined
[INFO 3:07:46 PM] symbols.files.associations changed, updating to undefined
[INFO 3:07:52 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 3:07:52 PM] symbols.folders.associations changed, updating to undefined
[INFO 3:07:52 PM] symbols.files.associations changed, updating to undefined
[INFO 3:08:17 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 3:08:17 PM] symbols.folders.associations changed, updating to undefined
[INFO 3:08:17 PM] symbols.files.associations changed, updating to undefined
[INFO 3:08:34 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 3:08:34 PM] symbols.folders.associations changed, updating to undefined
[INFO 3:08:34 PM] symbols.files.associations changed, updating to undefined
[INFO 3:08:58 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 3:08:58 PM] symbols.folders.associations changed, updating to undefined
[INFO 3:08:58 PM] symbols.files.associations changed, updating to undefined
[INFO 3:09:02 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 3:09:02 PM] symbols.folders.associations changed, updating to undefined
[INFO 3:09:02 PM] symbols.files.associations changed, updating to undefined
[INFO 3:17:14 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 3:17:14 PM] symbols.folders.associations changed, updating to undefined
[INFO 3:17:14 PM] symbols.files.associations changed, updating to undefined
[INFO 3:17:41 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 3:17:41 PM] symbols.folders.associations changed, updating to undefined
[INFO 3:17:41 PM] symbols.files.associations changed, updating to undefined
[INFO 3:18:31 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 3:18:31 PM] symbols.folders.associations changed, updating to undefined
[INFO 3:18:31 PM] symbols.files.associations changed, updating to undefined
[INFO 3:19:09 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 3:19:09 PM] symbols.folders.associations changed, updating to undefined
[INFO 3:19:09 PM] symbols.files.associations changed, updating to undefined
[INFO 3:19:39 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 3:19:39 PM] symbols.folders.associations changed, updating to undefined
[INFO 3:19:39 PM] symbols.files.associations changed, updating to undefined
[INFO 3:19:49 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 3:19:49 PM] symbols.folders.associations changed, updating to undefined
[INFO 3:19:49 PM] symbols.files.associations changed, updating to undefined
[INFO 3:20:02 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 3:20:02 PM] symbols.folders.associations changed, updating to undefined
[INFO 3:20:02 PM] symbols.files.associations changed, updating to undefined
[INFO 3:22:20 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 3:22:20 PM] symbols.folders.associations changed, updating to undefined
[INFO 3:22:20 PM] symbols.files.associations changed, updating to undefined
[INFO 3:22:22 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 3:22:22 PM] symbols.folders.associations changed, updating to undefined
[INFO 3:22:22 PM] symbols.files.associations changed, updating to undefined
[INFO 3:22:38 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 3:22:38 PM] symbols.folders.associations changed, updating to undefined
[INFO 3:22:38 PM] symbols.files.associations changed, updating to undefined
[INFO 3:22:40 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 3:22:40 PM] symbols.folders.associations changed, updating to undefined
[INFO 3:22:40 PM] symbols.files.associations changed, updating to undefined
[INFO 3:23:03 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 3:23:03 PM] symbols.folders.associations changed, updating to undefined
[INFO 3:23:03 PM] symbols.files.associations changed, updating to undefined
